seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
22,S100UH89,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G12472,30.0,04A001,40.0,,,2024-11-01 09:06,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100T7RZ,,0,0,0,1,1,0,0,1,1
23,S100UFLX,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G11054,30.0,07A000,120.0,2024-02-06,2024-08-05,2024-11-01 09:06,有価証券報告書（内国投資信託受益証券）－第31期(2024/02/06－2024/08/05),,,,,,,0,0,0,1,1,1,0,1,1
24,S100ULF3,E14235,,9010001132378.0,ＴＯＲＡＮＯＴＥＣ投信投資顧問株式会社,G12502,30.0,04A001,40.0,,,2024-11-01 09:06,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100TL97,,0,0,0,1,1,0,0,1,1
25,S100ULMJ,E27917,,3010001124760.0,ファイブスター投信投資顧問株式会社,G12831,30.0,995000,180.0,,,2024-11-01 09:06,臨時報告書（内国特定有価証券）,,,,第29条第2項第14号,,,0,0,0,1,1,0,0,1,1
26,S100UKVP,E12430,,8010401072159.0,日興アセットマネジメント株式会社,G15370,30.0,04A000,30.0,,,2024-11-01 09:06,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
27,S100UH8A,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G12473,30.0,10A000,160.0,2024-02-06,2025-02-05,2024-11-01 09:07,半期報告書（内国投資信託受益証券）－第8期(2024/02/06－2025/02/05),,,,,,,0,0,0,1,1,0,0,1,1
28,S100UKV0,E10677,,9010001021473.0,アセットマネジメントＯｎｅ株式会社,G11986,30.0,10A000,160.0,2024-02-02,2025-02-03,2024-11-01 09:07,半期報告書（内国投資信託受益証券）－第21期(2024/02/02－2025/02/03),,,,,,,0,0,0,1,1,0,0,1,1
29,S100UKUE,E10677,,9010001021473.0,アセットマネジメントＯｎｅ株式会社,G11807,30.0,04A000,30.0,,,2024-11-01 09:07,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
30,S100UJVJ,E06748,,2010001049257.0,大和アセットマネジメント株式会社,G10800,30.0,04A000,30.0,,,2024-11-01 09:07,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
31,S100UHGV,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G10798,30.0,10A000,160.0,2024-02-06,2025-02-05,2024-11-01 09:08,半期報告書（内国投資信託受益証券）－第10期(2024/02/06－2025/02/05),,,,,,,0,0,0,1,1,0,0,1,1
32,S100ULL3,E10677,,9010001021473.0,アセットマネジメントＯｎｅ株式会社,G15354,30.0,04A001,40.0,,,2024-11-01 09:08,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100UIZC,,0,0,0,1,1,1,0,1,1
33,S100UKVR,E12430,,8010401072159.0,日興アセットマネジメント株式会社,G15371,30.0,04A000,30.0,,,2024-11-01 09:08,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
34,S100UKSI,E12492,,3010001124868.0,ＨＳＢＣアセットマネジメント株式会社,G15365,30.0,04A000,30.0,,,2024-11-01 09:08,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
35,S100UKUZ,E10677,,9010001021473.0,アセットマネジメントＯｎｅ株式会社,G11986,30.0,04A000,30.0,,,2024-11-01 09:08,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
36,S100UH8B,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G12473,30.0,04A001,40.0,,,2024-11-01 09:08,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100T7C5,,0,0,0,1,1,0,0,1,1
37,S100UL9R,E06433,,3010001034076.0,東京海上アセットマネジメント株式会社,G08961,30.0,995000,180.0,,,2024-11-01 09:08,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
38,S100UIH0,E12422,,4010001046310.0,しんきんアセットマネジメント投信株式会社,G03385,30.0,04A000,30.0,,,2024-11-01 09:08,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
39,S100UJIO,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G10798,30.0,04A001,40.0,,,2024-11-01 09:08,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100T842,,0,0,0,1,1,0,0,1,1
40,S100ULP9,E02002,79310.0,3200001014926.0,未来工業株式会社,,10.0,043A00,160.0,2024-03-21,2025-03-20,2024-11-01 09:09,半期報告書－第60期(2024/03/21－2025/03/20),,,,,,,0,0,0,1,1,0,0,1,1
41,S100UKUG,E10677,,9010001021473.0,アセットマネジメントＯｎｅ株式会社,G11946,30.0,10A000,160.0,2024-02-02,2025-02-03,2024-11-01 09:09,半期報告書（内国投資信託受益証券）－第31期(2024/02/02－2025/02/03),,,,,,,0,0,0,1,1,0,0,1,1
42,S100UKUM,E10677,,9010001021473.0,アセットマネジメントＯｎｅ株式会社,G11947,30.0,10A000,160.0,2024-02-02,2025-02-03,2024-11-01 09:09,半期報告書（内国投資信託受益証券）－第31期(2024/02/02－2025/02/03),,,,,,,0,0,0,1,1,0,0,1,1
43,S100UKS7,E40146,,,宮川　洋,,60.0,010000,350.0,,,2024-11-01 09:09,大量保有報告書,E31343,,,,,,0,0,0,1,1,0,0,1,1
44,S100UKUH,E10677,,9010001021473.0,アセットマネジメントＯｎｅ株式会社,G11947,30.0,04A000,30.0,,,2024-11-01 09:10,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
45,S100UKUX,E10677,,9010001021473.0,アセットマネジメントＯｎｅ株式会社,G11951,30.0,10A000,160.0,2024-02-02,2025-02-03,2024-11-01 09:10,半期報告書（内国投資信託受益証券）－第31期(2024/02/02－2025/02/03),,,,,,,0,0,0,1,1,0,0,1,1
46,S100UKUS,E10677,,9010001021473.0,アセットマネジメントＯｎｅ株式会社,G11949,30.0,10A000,160.0,2024-02-02,2025-02-03,2024-11-01 09:10,半期報告書（内国投資信託受益証券）－第31期(2024/02/02－2025/02/03),,,,,,,0,0,0,1,1,0,0,1,1
47,S100UL1Y,E09096,,9010001125976.0,ブラックロック・ジャパン株式会社,G09436,30.0,04A000,30.0,,,2024-11-01 09:10,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
48,S100UDG9,E32011,,5010601048309.0,りそなアセットマネジメント株式会社,G15154,30.0,10A000,160.0,2024-02-16,2025-02-20,2024-11-01 09:10,半期報告書（内国投資信託受益証券）－第1期(2024/02/16－2025/02/20),,,,,,,0,0,0,1,1,0,0,1,1
49,S100UJV0,E06433,,3010001034076.0,東京海上アセットマネジメント株式会社,G13500,30.0,04A000,30.0,,,2024-11-01 09:10,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
50,S100UKUF,E10677,,9010001021473.0,アセットマネジメントＯｎｅ株式会社,G11946,30.0,04A000,30.0,,,2024-11-01 09:10,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
51,S100UK7D,E06748,,2010001049257.0,大和アセットマネジメント株式会社,G12692,30.0,07A000,120.0,2024-02-11,2024-08-10,2024-11-01 09:10,有価証券報告書（内国投資信託受益証券）－第14期(2024/02/11－2024/08/10),,,,,,,0,0,0,1,1,1,0,1,1
52,S100UFYI,E12460,,7010001054021.0,野村アセットマネジメント株式会社,G15175,30.0,04A001,40.0,,,2024-11-01 09:11,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100SR5K,,0,0,0,1,1,1,0,1,1
53,S100UKUR,E10677,,9010001021473.0,アセットマネジメントＯｎｅ株式会社,G11949,30.0,04A000,30.0,,,2024-11-01 09:11,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
54,S100UKOI,E32011,,5010601048309.0,りそなアセットマネジメント株式会社,G15154,30.0,04A001,40.0,,,2024-11-01 09:11,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100SNNP,,0,0,0,1,1,1,0,1,1
55,S100UKUW,E10677,,9010001021473.0,アセットマネジメントＯｎｅ株式会社,G11951,30.0,04A000,30.0,,,2024-11-01 09:11,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
56,S100ULPD,E02002,79310.0,3200001014926.0,未来工業株式会社,,10.0,042000,135.0,,,2024-11-01 09:11,確認書,,,,,,,0,0,0,0,1,0,0,0,1
57,S100UJUY,E06433,,3010001034076.0,東京海上アセットマネジメント株式会社,G13500,30.0,10A000,160.0,2024-02-06,2025-02-04,2024-11-01 09:11,半期報告書（内国投資信託受益証券）－第6期(2024/02/06－2025/02/04),,,,,,,0,0,0,1,1,0,0,1,1
58,S100UDGB,E32011,,5010601048309.0,りそなアセットマネジメント株式会社,G15155,30.0,10A000,160.0,2024-02-16,2025-02-20,2024-11-01 09:12,半期報告書（内国投資信託受益証券）－第1期(2024/02/16－2025/02/20),,,,,,,0,0,0,1,1,0,0,1,1
59,S100UKUQ,E10677,,9010001021473.0,アセットマネジメントＯｎｅ株式会社,G11948,30.0,10A000,160.0,2024-02-02,2025-02-03,2024-11-01 09:12,半期報告書（内国投資信託受益証券）－第31期(2024/02/02－2025/02/03),,,,,,,0,0,0,1,1,0,0,1,1
60,S100UK8X,E32011,,5010601048309.0,りそなアセットマネジメント株式会社,G15155,30.0,04A001,40.0,,,2024-11-01 09:12,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100SNNO,,0,0,0,1,1,1,0,1,1
61,S100UK7E,E06748,,2010001049257.0,大和アセットマネジメント株式会社,G12692,30.0,04A000,30.0,,,2024-11-01 09:12,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
62,S100UJUK,E12460,,7010001054021.0,野村アセットマネジメント株式会社,G04317,30.0,995000,180.0,,,2024-11-01 09:12,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
63,S100ULT4,E04339,93610.0,4230001010772.0,伏木海陸運送株式会社,,10.0,030001,130.0,,,2024-11-01 09:12,訂正有価証券報告書－第107期(2023/07/01－2024/06/30),,,,,S100UFDP,,0,0,0,1,1,0,0,1,1
64,S100U8WX,E12441,,3010001062358.0,ＳＢＩ岡三アセットマネジメント株式会社,G10780,30.0,07A000,120.0,2024-02-06,2024-08-05,2024-11-01 09:13,有価証券報告書（内国投資信託受益証券）－第19期(2024/02/06－2024/08/05),,,,,,,0,0,0,1,1,1,0,1,1
65,S100UL2I,E09096,,9010001125976.0,ブラックロック・ジャパン株式会社,G09436,30.0,07A000,120.0,2023-08-03,2024-08-02,2024-11-01 09:13,有価証券報告書（内国投資信託受益証券）－第11期(2023/08/03－2024/08/02),,,,,,,0,0,0,1,1,1,0,1,1
66,S100UDGC,E32011,,5010601048309.0,りそなアセットマネジメント株式会社,G15156,30.0,10A000,160.0,2024-02-16,2025-02-20,2024-11-01 09:13,半期報告書（内国投資信託受益証券）－第1期(2024/02/16－2025/02/20),,,,,,,0,0,0,1,1,0,0,1,1
67,S100UKUP,E10677,,9010001021473.0,アセットマネジメントＯｎｅ株式会社,G11948,30.0,04A000,30.0,,,2024-11-01 09:13,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
68,S100ULT1,E04539,97080.0,8010001008711.0,株式会社帝国ホテル,,10.0,043A00,160.0,2024-04-01,2025-03-31,2024-11-01 09:13,半期報告書－第184期(2024/04/01－2025/03/31),,,,,,,0,0,0,1,1,0,0,1,1
69,S100UKRS,E32011,,5010601048309.0,りそなアセットマネジメント株式会社,G15156,30.0,04A001,40.0,,,2024-11-01 09:14,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100SNNQ,,0,0,0,1,1,1,0,1,1
70,S100UGVM,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G11082,30.0,07A000,120.0,2023-08-08,2024-08-05,2024-11-01 09:14,有価証券報告書（内国投資信託受益証券）－第11期(2023/08/08－2024/08/05),,,,,,,0,0,0,1,1,1,0,1,1
71,S100UKUV,E10677,,9010001021473.0,アセットマネジメントＯｎｅ株式会社,G11950,30.0,10A000,160.0,2024-02-02,2025-02-03,2024-11-01 09:14,半期報告書（内国投資信託受益証券）－第31期(2024/02/02－2025/02/03),,,,,,,0,0,0,1,1,0,0,1,1
72,S100UKCG,E06748,,2010001049257.0,大和アセットマネジメント株式会社,G14037,30.0,10A000,160.0,2024-02-11,2025-02-10,2024-11-01 09:14,半期報告書（内国投資信託受益証券）－第4期(2024/02/11－2025/02/10),,,,,,,0,0,0,1,1,0,0,1,1
73,S100UKUT,E10677,,9010001021473.0,アセットマネジメントＯｎｅ株式会社,G11950,30.0,04A000,30.0,,,2024-11-01 09:15,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
74,S100UKUY,E10677,,9010001021473.0,アセットマネジメントＯｎｅ株式会社,G11967,30.0,04A000,30.0,,,2024-11-01 09:16,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
75,S100UL2N,E09096,,9010001125976.0,ブラックロック・ジャパン株式会社,G09435,30.0,04A000,30.0,,,2024-11-01 09:16,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
76,S100UKFX,E12473,,4010001031576.0,ＵＢＳアセット・マネジメント株式会社,G06988,30.0,995000,180.0,,,2024-11-01 09:16,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
77,S100ULKX,E27917,,3010001124760.0,ファイブスター投信投資顧問株式会社,G12831,30.0,04A001,40.0,,,2024-11-01 09:16,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100TDA1,,0,0,0,1,1,0,0,1,1
78,S100UKCH,E06748,,2010001049257.0,大和アセットマネジメント株式会社,G14037,30.0,04A000,30.0,,,2024-11-01 09:16,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
79,S100U8WY,E12441,,3010001062358.0,ＳＢＩ岡三アセットマネジメント株式会社,G10780,30.0,04A000,30.0,,,2024-11-01 09:17,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
80,S100ULT5,E04539,97080.0,8010001008711.0,株式会社帝国ホテル,,10.0,042000,135.0,,,2024-11-01 09:17,確認書,,,,,,,0,0,0,0,1,0,0,0,1
81,S100ULK8,E03867,88180.0,6120001078852.0,京阪神ビルディング株式会社,,10.0,043A00,160.0,2024-04-01,2025-03-31,2024-11-01 09:17,半期報告書－第102期(2024/04/01－2025/03/31),,,,,,,0,0,0,1,1,0,0,1,1
82,S100UKXQ,E06748,,2010001049257.0,大和アセットマネジメント株式会社,G14038,30.0,10A000,160.0,2024-02-11,2025-02-10,2024-11-01 09:18,半期報告書（内国投資信託受益証券）－第4期(2024/02/11－2025/02/10),,,,,,,0,0,0,1,1,0,0,1,1
83,S100ULKK,E03867,88180.0,6120001078852.0,京阪神ビルディング株式会社,,10.0,042000,135.0,,,2024-11-01 09:19,確認書,,,,,,,0,0,0,0,1,0,0,0,1
84,S100UH4Z,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G12491,30.0,10A000,160.0,2024-02-06,2025-02-05,2024-11-01 09:19,半期報告書（内国投資信託受益証券）－第8期(2024/02/06－2025/02/05),,,,,,,0,0,0,1,1,0,0,1,1
85,S100UGVL,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G11082,30.0,04A000,30.0,,,2024-11-01 09:19,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
86,S100UL33,E09096,,9010001125976.0,ブラックロック・ジャパン株式会社,G09435,30.0,07A000,120.0,2023-08-03,2024-08-02,2024-11-01 09:19,有価証券報告書（内国投資信託受益証券）－第11期(2023/08/03－2024/08/02),,,,,,,0,0,0,1,1,1,0,1,1
87,S100UK1N,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G12491,30.0,04A001,40.0,,,2024-11-01 09:20,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100T7QG,,0,0,0,1,1,0,0,1,1
88,S100UH50,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G12489,30.0,10A000,160.0,2024-02-06,2025-02-05,2024-11-01 09:20,半期報告書（内国投資信託受益証券）－第8期(2024/02/06－2025/02/05),,,,,,,0,0,0,1,1,0,0,1,1
89,S100UKXV,E06748,,2010001049257.0,大和アセットマネジメント株式会社,G14038,30.0,04A000,30.0,,,2024-11-01 09:21,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
90,S100UK1Z,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G12489,30.0,04A001,40.0,,,2024-11-01 09:21,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100T89A,,0,0,0,1,1,0,0,1,1
91,S100ULS1,E30703,,1010001106942.0,マニュライフ・インベストメント・マネジメント株式会社,G13569,30.0,995000,180.0,,,2024-11-01 09:21,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
92,S100UM33,E00366,,6360001006500.0,株式会社　りゅうとう,,10.0,053000,180.0,,,2024-11-01 09:22,臨時報告書,,,,第19条第2項第4号,,,0,0,0,1,1,0,0,1,1
93,S100UL3D,E09096,,9010001125976.0,ブラックロック・ジャパン株式会社,G09432,30.0,04A000,30.0,,,2024-11-01 09:22,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
94,S100UH1K,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G12474,30.0,10A000,160.0,2024-02-06,2025-02-05,2024-11-01 09:22,半期報告書（内国投資信託受益証券）－第8期(2024/02/06－2025/02/05),,,,,,,0,0,0,1,1,0,0,1,1
95,S100UH1L,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G12474,30.0,04A001,40.0,,,2024-11-01 09:23,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100T7SD,,0,0,0,1,1,0,0,1,1
96,S100UGZ9,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G11048,30.0,04A000,30.0,,,2024-11-01 09:24,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
97,S100UH1G,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G12490,30.0,10A000,160.0,2024-02-06,2025-02-05,2024-11-01 09:24,半期報告書（内国投資信託受益証券）－第8期(2024/02/06－2025/02/05),,,,,,,0,0,0,1,1,0,0,1,1
98,S100UGZD,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G11048,30.0,07A000,120.0,2023-08-08,2024-08-05,2024-11-01 09:24,有価証券報告書（内国投資信託受益証券）－第21期(2023/08/08－2024/08/05),,,,,,,0,0,0,1,1,1,0,1,1
99,S100UL3K,E09096,,9010001125976.0,ブラックロック・ジャパン株式会社,G09432,30.0,07A000,120.0,2023-08-03,2024-08-02,2024-11-01 09:24,有価証券報告書（内国投資信託受益証券）－第11期(2023/08/03－2024/08/02),,,,,,,0,0,0,1,1,1,0,1,1
100,S100UH1I,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G12490,30.0,04A001,40.0,,,2024-11-01 09:25,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100T7V4,,0,0,0,1,1,0,0,1,1
101,S100UGZF,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G11081,30.0,04A000,30.0,,,2024-11-01 09:25,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
102,S100ULQI,E06748,,2010001049257.0,大和アセットマネジメント株式会社,G01872,30.0,04A000,30.0,,,2024-11-01 09:26,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
103,S100UGZH,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G11081,30.0,07A000,120.0,2023-08-08,2024-08-05,2024-11-01 09:26,有価証券報告書（内国投資信託受益証券）－第11期(2023/08/08－2024/08/05),,,,,,,0,0,0,1,1,1,0,1,1
104,S100UKFK,E09096,,9010001125976.0,ブラックロック・ジャパン株式会社,G10406,30.0,04A000,30.0,,,2024-11-01 09:28,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
105,S100UKVN,E06748,,2010001049257.0,大和アセットマネジメント株式会社,G10617,30.0,995000,180.0,,,2024-11-01 09:30,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
106,S100UKFN,E09096,,9010001125976.0,ブラックロック・ジャパン株式会社,G10406,30.0,07A000,120.0,2023-08-03,2024-08-02,2024-11-01 09:31,有価証券報告書（内国投資信託受益証券）－第10期(2023/08/03－2024/08/02),,,,,,,0,0,0,1,1,1,0,1,1
107,S100ULJ3,E32444,,4010001170135.0,マネックス・アセットマネジメント株式会社,G13813,30.0,04A001,40.0,,,2024-11-01 09:32,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100TK29,,0,0,0,1,1,0,0,1,1
108,S100ULJL,E32444,,4010001170135.0,マネックス・アセットマネジメント株式会社,G11744,30.0,04A001,40.0,,,2024-11-01 09:33,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100U2K9,,0,0,0,1,1,0,0,1,1
109,S100UKVO,E06748,,2010001049257.0,大和アセットマネジメント株式会社,G11335,30.0,995000,180.0,,,2024-11-01 09:33,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
